"ListingId","Neighbourhood","SummaryByHost","CommentByVisitor","Similarity","Degree"
"29155","Back Bay","['year', 'old', 'brownstone', 'located', 'one', 'Boston', 'prestigious', 'historical', 'neighborhoods', 'steps', 'away', 'enjoy', 'sailboats', 'summer', 'concerts', 'along', 'Charles', 'River', 'relax', 'Boston', 'Public', 'Gardens']","['nicely', 'renovated', 'advertised', 'issues']","[]","0"
"22212","Back Bay","['Located', 'heart', 'Boston', 'Back', 'Bay', 'Newbury', 'offers', 'easy', 'access', 'Boston', 'best', 'shopping', 'attractions', 'including', 'Hynes', 'Convention', 'Center', 'Prudential', 'Center', 'shopping', 'mall', 'Boston', 'famous', 'Newbury', 'Street']","['Location', 'fabulous', 'apartment', 'like', 'pictures', 'apartment', 'ground', 'level', 'enter', 'walk', 'stairs', 'entering', 'apartment', 'apartment', 'comfortable', 'refrigerator', 'gave', 'sound', 'turn', 'night', 'apartment', 'clean', 'bit', 'tired', 'places', 'walls', 'carpet', 'steps', 'away', 'Newbury', 'street', 'mean', 'steps', 'away', 'soo', 'close', 'next', 'train', 'station', 'right', 'side', 'Newbury', 'next', 'Best', 'Buy', 'discovered', 'subway', 'minutes', 'away', 'Starbucks', 'well', 'everything', 'fell', 'place']","['street', 'right', 'well', 'comfortable', 'place', 'sound', 'Best']","7"
"23668","West End","['Living', 'Vesta', 'West', 'End', 'Apartments', 'residents', 'find', 'center', 'surrounded', 'Charles', 'River', 'Esplanade', 'Beacon', 'Hill', 'Boston', 'Common', 'North', 'End', 'Waterfront']","[]","[]","0"
"67774","Beacon Hill","['Marathon', 'rentals', 'yet', 'Sunny', 'corner', 'bed', 'facing', 'State', 'House', 'golden', 'dome', 'Great', 'location', 'close', 'everything', 'concierge', 'building', 'elevators', 'common', 'roofdeck', 'queen', 'size', 'bed', 'flat', 'screen', 'TV']","['Perfect', 'location', 'great', 'apartment', 'professional', 'landlady']","['apartment', 'great', 'location']","3"
"59776","Beacon Hill","['offer', 'huge', 'beautiful', 'room', 'private', 'bath']","['great', 'stay', 'Boston', 'thank', 'much', 'Susan', 'hosting', 'us']","[]","0"
"12356","Beacon Hill","['Renovated', 'bed', 'facing', 'State', 'House', 'floor', 'Granite', 'counters', 'stainless', 'appliances', 'breakfast', 'bar', 'wood', 'floors', 'queen', 'size', 'bed', 'great', 'closets', 'sleeper', 'couch', 'flat', 'screen', 'TV', 'wifi', 'Concierge', 'elevators', 'laundry']","['Anne', 'responsive', 'easily', 'reachable', 'whenever', 'questions', 'renovation', 'work', 'done', 'another', 'unit', 'Anne', 'manages', 'question', 'would', 'staying', 'got', 'worked', 'photo', 'attached', 'review', 'form', 'must', 'apartment', 'stay', 'layout', 'apartment', 'roomy', 'comfortable', 'kitchen', 'well', 'equipped', 'location', 'convenient', 'slightly', 'block', 'station', 'served', 'two', 'lines', 'drawback', 'location', 'amount', 'traffic', 'noise', 'earlier', 'morning', 'hours', 'garbage', 'trucks', 'trucks', 'supplying', 'local', 'businesses', 'etc', 'regulate', 'warmth', 'apartment', 'grateful', 'given', 'cold', 'temperatures', 'days', 'opening', 'windows', 'bit', 'unfortunately', 'let', 'noise']","['apartment', 'block']","2"
"23619","Beacon Hill","['New', 'bed', 'frame', 'new', 'desk', 'new', 'sofa', 'chair', 'upgrade', 'Jan', 'Closer', 'State', 'house', 'Boston', 'Common', 'great', 'downtown', 'location', 'easy', 'access', 'tourist', 'area', 'See', 'detail']","['Henry', 'Lisa', 'nice', 'helpful', 'people', 'reactive', 'needed', 'appartment', 'somewhat', 'noisy', 'loud', 'air', 'condionning', 'system', 'neighbor', 'building', 'working', 'day', 'night', 'opener', 'table', 'cloths', 'could', 'provided']","[]","0"
"54944","Beacon Hill","['Private', 'studio', 'suite', 'historic', 'brownstone', 'Beacon', 'Hill', 'Near', 'Charles', 'Street', 'Public', 'Gardens', 'mere', 'steps', 'historic', 'sights', 'public', 'transportation']","['apartment', 'well', 'located', 'lovely', 'Beacon', 'Hill', 'area', 'close', 'interesting', 'boutique', 'shops', 'variety', 'restaurants', 'several', 'small', 'food', 'stores', 'short', 'walk', 'either', 'red', 'green', 'subway', 'lines', 'access', 'parts', 'city', 'easy', 'either', 'train', 'walking', 'apartment', 'studio', 'bed', 'sitting', 'area', 'kitchen', 'included', 'one', 'space', 'adequate', 'two', 'people', 'enjoyed', 'ambience', 'apartment', 'location']","['Hill', 'studio', 'close']","3"
"21891","Chinatown","['apartments', 'situated', 'perfectly', 'right', 'heart', 'Boston', 'Theater', 'District', 'Financial', 'District', 'several', 'attractions', 'nearby', 'including', 'Boston', 'Faneuli', 'Hall', 'Freedom', 'Trail', 'Downtown', 'Crossing', 'New', 'England', 'Aquarium']","['Great', 'place', 'perfect', 'location', 'better']","[]","0"
"10730","Beacon Hill","['Note', 'booking', 'Marathon', 'yet', 'Bright', 'spacious', 'unit', 'galley', 'kitchen', 'queen', 'size', 'bed', 'great', 'closets', 'flat', 'screen', 'tv', 'wireless', 'internet', 'building', 'features', 'doorman', 'common', 'roofdeck', 'laundry', 'floor', 'Awesome', 'location', 'close', 'everything']","['went', 'Boston', 'wife', 'month', 'old', 'son', 'apartment', 'nice', 'good', 'located', 'Anne', 'quite', 'helpful', 'whole', 'experience', 'highly', 'recommended']","['apartment', 'whole']","2"
"60356","Beacon Hill","['floor', 'overlooking', 'Boston', 'Common', 'State', 'House', 'Sunny', 'spacious', 'bed', 'concierge', 'building', 'elevator', 'common', 'roofdeck', 'laundry', 'floor', 'conveniently', 'located', 'close', 'everything']","['wife', 'moved', 'Portland', 'Boston', 'found', 'apartment', 'could', 'move', 'week', 'found', 'scrambling', 'find', 'place', 'stay', 'happy', 'found', 'apartment', 'Anne', 'PROS', 'location', 'fantastic', 'Anne', 'responsive', 'host', 'helped', 'us', 'get', 'settled', 'quickly', 'despite', 'narrow', 'window', 'time', 'CONS', 'stay', 'shower', 'head', 'shower', 'leaking', 'quite', 'badly', 'led', 'barely', 'serviceable', 'shower', 'Though', 'apartment', 'clean', 'recommend', 'anyone', 'bad', 'allergies', 'dust', 'particles', 'air', 'caused', 'bad', 'flare', 'wife', 'despite', 'medication']","['place', 'Boston']","2"
"8792","Beacon Hill","['Marathon', 'rentals', 'yet', 'Fully', 'furnished', 'facing', 'State', 'House', 'Floor', 'ceiling', 'windows', 'wall', 'wall', 'carpet', 'newer', 'living', 'room', 'furniture', 'newly', 'renovated', 'bathroom', 'new', 'king', 'size', 'bed', 'concierge', 'building', 'elevators', 'common', 'roofdeck']","['unit', 'quiet', 'convenient', 'excellently', 'connected', 'Walking', 'Freedom', 'Trail', 'nearby', 'Beacon', 'Hill', 'area', 'highlight', 'trip', 'unit', 'spacious', 'luminous', 'kitchen', 'rather', 'small', 'since', 'eat', 'fine', 'plenty', 'space', 'people', 'Ann', 'excellent', 'host', 'fixing', 'problem', 'touch', 'Well', 'done']","[]","0"
"39116","Fenway/Kenmore","['Welcome', 'Boston', 'heart', 'one', 'greatest', 'neighborhoods', 'Enjoy', 'private', 'room', 'company', 'local', 'Bostonian', 'awesome', 'dog', 'Staying', 'puts', 'allure', 'Boston', 'right', 'outside', 'door']","['place', 'Boston', 'Still', 'thanks', 'lot', 'really', 'good', 'time', 'spend', 'Bernard', 'Chantal', 'Lyon', 'France']","['place', 'Boston', 'good']","3"
"31796","Dorchester","['working', 'professional', 'woman', 'originally', 'Armenia', 'live', 'Victorian', 'house', 'many', 'years', 'love', 'use', 'Airbnb', 'travel', 'enjoy', 'hosting', 'travelers', 'around', 'world']","['Nice', 'host', 'Pace', 'convenient', 'visit', 'city', 'metro', 'red', 'line', 'near', 'house', 'parking', 'road', 'free', 'without', 'difficulty', 'offered', 'us', 'coffee', 'something', 'breakfast', 'even', 'included', 'price', 'recommend']","['host', 'house']","2"
"47521","Dorchester","['Big', 'Victorian', 'house', 'Many', 'amenities', 'around', 'corner', 'ATM', 'restaurants', 'grocery', 'shoppes', 'CVS', 'hospital', 'park', 'parking', 'red', 'line', 'center', 'min', 'walk', 'Fields', 'corner', 'stop', 'Free', 'ride', 'airport', 'public', 'transportation']","['boyfriend', 'spent', 'four', 'nights', 'Hermina', 'house', 'well', 'received', 'room', 'good', 'large', 'nice', 'host', 'return', 'Boston', 'sure', 'return', 'place', 'min', 'walk', 'metro', 'convenient', 'Mon', 'copain', 'et', 'moi', 'avons', 'passé', 'nuits', 'chez', 'Hermina', 'Nous', 'avons', 'été', 'très', 'bien', 'reçu', 'Notre', 'chambre', 'était', 'tres', 'bien', 'et', 'très', 'grande', 'de', 'plus', 'c', 'est', 'une', 'incroyable', 'hôte', 'Si', 'je', 'retourne', 'sur', 'Boston', 'c', 'est', 'certain', 'que', 'je', 'vais', 'retourner', 'à', 'cet', 'endroit', 'À', 'min', 'à', 'pieds', 'du', 'métro', 'c', 'est', 'très', 'pratique']","['large', 'house', 'walk', 'min']","4"
"57156","Dorchester","['Looking', 'cottage', 'rent', 'rather', 'room', 'miles', 'south', 'downtown', 'min', 'walk', 'Red', 'Subway', 'line', 'adjacent', 'acre', 'park', 'short', 'walk', 'beach', 'harbor', 'walk', 'amenities', 'Full', 'bath', 'kitchenette', 'living', 'bedrooms']","['little', 'cottage', 'Dorchester', 'absolutely', 'perfect', 'neighborhood', 'quiet', 'safe', 'park', 'across', 'street', 'lovely', 'house', 'perfect', 'couple', 'bed', 'comfortable', 'shower', 'hot', 'tv', 'works', 'Cabs', 'come', 'fairly', 'quick', 'costs', 'get', 'downtown', 'stop', 'minute', 'walk', 'away', 'takes', 'minutes', 'get', 'downtown', 'would', 'highly', 'recommend', 'spot']","['little', 'minute', 'cottage', 'park', 'walk', 'downtown']","6"
"18711","Dorchester","['comfortable', 'three', 'bedroom', 'apartment', 'tons', 'light', 'true', 'neighborhood', 'feel', 'comfortably', 'fits', 'four', 'centrally', 'located', 'blocks', 'Upham', 'Corner', 'Enjoy', 'short', 'walk', 'Redline', 'Subway', 'zip', 'downtown']","['Awesome', 'experience', 'Great', 'place', 'close', 'everything', 'Apartment', 'excellent', 'condition', 'enjoyable', 'Thanks', 'lovely', 'time', 'Boston']","['place', 'experience']","2"
"3353","Allston-Brighton","['Clean', 'comfortable', 'room', 'good', 'short', 'term', 'stays', 'pretty', 'small', 'recommend', 'staying', 'max', 'month', 'two']","['friendly', 'helpful', 'Convenient', 'location']","[]","0"
"10809","Allston-Brighton","['roomy', 'two', 'beds', 'Bath', 'hall', 'Includes', 'WIFI', 'parking', 'local', 'phone', 'service', 'flat', 'screen', 'TV']","['love', 'vert', 'comfy', 'private', 'enough', 'Lovely', 'room', 'clean', 'sheets', 'towels', 'everyday', 'WiFi', 'isnt', 'strong']","['WiFi', 'love']","2"
"10810","Allston-Brighton","['Two', 'full', 'bedrooms', 'full', 'kitchen', 'living', 'room', 'bath', 'Includes', 'sheets', 'towels', 'parking', 'wifi', 'local', 'phone', 'service']","[]","[]","0"
"10807","Allston-Brighton","['smalest', 'room', 'two', 'one', 'double', 'bed', 'sharing', 'bath', 'Parking', 'unlimited', 'local', 'phone', 'service', 'WI', 'FI', 'included']","['Chambre', 'double', 'correcte', 'avec', 'salle', 'de', 'bain', 'pas', 'de', 'cuisine', 'Prix', 'raisonnable', 'avec', 'parking', 'pour', 'un', 'ville', 'assez', 'cher', 'Je', 'conseille', 'pour', 'des', 'courts', 'séjours', 'Merci']","['double', 'parking']","2"
"10758","Allston-Brighton","['least', 'expensive', 'room', 'room', 'one', 'single', 'bed', 'one', 'person', 'bath', 'corridor', 'Includes', 'parking', 'WI', 'FI', 'local', 'telephone', 'service']","['looking', 'place', 'convenient', 'public', 'transportation', 'college', 'style', 'nightlife', 'excellent', 'value']","[]","0"
