Word,Rank,Frequency
help,477,21
bear,478,21
particularly,479,21
anybody,480,21
kind,481,21
meeting,482,21
alone,483,21
speaking,484,21
means,485,21
matter,486,21
open,487,21
twenty,488,21
comfort,489,21
got,490,21
walking,491,21
natural,492,21
turned,493,21
appeared,494,20
hands,495,20
already,496,20
influence,497,20
why,498,20
air,499,20
rest,500,20
understood,501,20
need,502,20
understanding,503,20
call,504,20
pain,505,20
pleased,506,20
sorry,507,20
health,508,20
none,509,20
concert,510,20
lived,511,20
sometimes,512,19
giving,513,19
large,514,19
value,515,19
style,516,19
took,517,19
cousins,518,19
engaged,519,19
nobody,520,19
self,521,19
notice,522,19
supposed,523,19
conduct,524,19
dinner,525,19
voice,526,19
handsome,527,19
wonder,528,19
delighted,529,19
lost,530,18
window,531,18
probably,532,18
tone,533,18
drawing,534,18
harvilles,535,18
disposed,536,18
imagine,537,18
finding,538,18
expected,539,18
everybody,540,18
anxious,541,18
money,542,18
hoped,543,18
rooms,544,18
fellow,545,18
generally,546,18
small,547,18
serious,548,18
suffering,549,18
circumstance,550,18
also,551,18
terms,552,18
waiting,553,17
son,554,17
pride,555,17
proper,556,17
entirely,557,17
second,558,17
months,559,17
turn,560,17
view,561,17
kept,562,17
completely,563,17
warm,564,17
curiosity,565,17
observed,566,17
sisters,567,17
sense,568,17
favour,569,17
respect,570,17
hearing,571,17
meant,572,16
reached,573,16
caught,574,16
loved,575,16
ago,576,16
times,577,16
vain,578,16
meaning,579,16
history,580,16
description,581,16
nurse,582,16
seem,583,16
extremely,584,16
late,585,16
particular,586,16
common,587,16
listened,588,16
drew,589,16
perfect,590,16
farther,591,16
quiet,592,15
buildings,593,15
table,594,15
aware,595,15
attending,596,15
agreed,597,15
fact,598,15
continued,599,15
behind,600,15
kindness,601,15
trying,602,15
exactly,603,15
impossible,604,15
period,605,15
smallest,606,15
staying,607,15
remember,608,15
knowing,609,15
nearly,610,15
low,611,15
highly,612,15
profession,613,15
seat,614,15
instead,615,15
liked,616,15
answered,617,15
allowed,618,15
