,Awards,col_final1,col_final2,col_final3
4698,Won 1 Oscar. Another 13 wins & 7 nominations., 7 nominations.,Won 1 Oscar, Another 13 wins 
4699,Won 3 Golden Globes. Another 13 wins & 19 nominations., 19 nominations.,Won 3 Golden Globes, Another 13 wins 
4700,Won 6 Oscars. Another 48 wins & 28 nominations., 28 nominations.,Won 6 Oscars, Another 48 wins 
4701,1 win & 2 nominations., 2 nominations.,1 win ,0
4702,1 win.,0,1 win,
4703,1 win.,0,1 win,
4704,Won 18 Primetime Emmys. Another 16 wins & 60 nominations., 60 nominations.,Won 18 Primetime Emmys, Another 16 wins 
4707,Nominated for 1 Golden Globe. Another 4 wins & 5 nominations., 5 nominations.,Nominated for 1 Golden Globe, Another 4 wins 
4710,5 wins & 16 nominations., 16 nominations.,5 wins ,0
4711,1 nomination.,0,1 nomination,
4712,6 wins & 5 nominations., 5 nominations.,6 wins ,0
4713,5 nominations.,0,5 nominations,
4714,2 nominations.,0,2 nominations,
4715,Won 3 Primetime Emmys. Another 34 wins & 89 nominations., 89 nominations.,Won 3 Primetime Emmys, Another 34 wins 
4716,Nominated for 3 Oscars. Another 19 wins & 40 nominations., 40 nominations.,Nominated for 3 Oscars, Another 19 wins 
4718,2 wins & 4 nominations., 4 nominations.,2 wins ,0
4719,1 win & 7 nominations., 7 nominations.,1 win ,0
4720,Nominated for 1 Oscar. Another 5 wins & 41 nominations., 41 nominations.,Nominated for 1 Oscar, Another 5 wins 
4724,1 win.,0,1 win,
4725,7 wins & 42 nominations., 42 nominations.,7 wins ,0
4727,Nominated for 1 Oscar. Another 8 wins & 58 nominations., 58 nominations.,Nominated for 1 Oscar, Another 8 wins 
4728,Won 1 Oscar. Another 39 wins & 134 nominations., 134 nominations.,Won 1 Oscar, Another 39 wins 
4729,3 wins & 23 nominations., 23 nominations.,3 wins ,0
4731,2 wins & 3 nominations., 3 nominations.,2 wins ,0
4732,5 wins & 28 nominations., 28 nominations.,5 wins ,0
4733,Nominated for 1 Oscar. Another 34 wins & 75 nominations., 75 nominations.,Nominated for 1 Oscar, Another 34 wins 
4734,2 wins & 21 nominations., 21 nominations.,2 wins ,0
4736,2 wins & 16 nominations., 16 nominations.,2 wins ,0
4737,Nominated for 2 Golden Globes. Another 20 wins & 52 nominations., 52 nominations.,Nominated for 2 Golden Globes, Another 20 wins 
4738,2 wins & 1 nomination., 1 nomination.,2 wins ,0
4740,2 wins & 4 nominations., 4 nominations.,2 wins ,0
4741,2 wins & 7 nominations., 7 nominations.,2 wins ,0
4742,1 win.,0,1 win,
4744,2 nominations.,0,2 nominations,
4745,Nominated for 2 Oscars. Another 4 wins & 17 nominations., 17 nominations.,Nominated for 2 Oscars, Another 4 wins 
4747,1 win & 23 nominations., 23 nominations.,1 win ,0
4748,4 wins & 1 nomination., 1 nomination.,4 wins ,0
4754,1 win & 10 nominations., 10 nominations.,1 win ,0
4755,Nominated for 1 Oscar. Another 17 wins & 53 nominations., 53 nominations.,Nominated for 1 Oscar, Another 17 wins 
4756,Won 2 Oscars. Another 44 wins & 74 nominations., 74 nominations.,Won 2 Oscars, Another 44 wins 
4757,2 wins & 1 nomination., 1 nomination.,2 wins ,0
4759,Nominated for 1 Oscar. Another 6 wins & 46 nominations., 46 nominations.,Nominated for 1 Oscar, Another 6 wins 
4760,1 win & 4 nominations., 4 nominations.,1 win ,0
4761,2 wins & 11 nominations., 11 nominations.,2 wins ,0
4762,Nominated for 1 BAFTA Film Award. Another 9 wins & 54 nominations., 54 nominations.,Nominated for 1 BAFTA Film Award, Another 9 wins 
4763,Won 7 Oscars. Another 215 wins & 169 nominations., 169 nominations.,Won 7 Oscars, Another 215 wins 
4764,1 nomination.,0,1 nomination,
4767,Nominated for 1 Oscar. Another 70 wins & 59 nominations., 59 nominations.,Nominated for 1 Oscar, Another 70 wins 
4769,4 nominations.,0,4 nominations,
4770,4 wins & 10 nominations., 10 nominations.,4 wins ,0
4771,Nominated for 1 Oscar. Another 9 wins & 40 nominations., 40 nominations.,Nominated for 1 Oscar, Another 9 wins 
4772,1 win & 9 nominations., 9 nominations.,1 win ,0
