,Awards,col_final1,col_final2,col_final3
5508,1 win.,0,1 win,
5515,1 nomination.,0,1 nomination,
5525,1 nomination.,0,1 nomination,
5530,2 nominations.,0,2 nominations,
5534,2 nominations.,0,2 nominations,
5540,19 wins & 10 nominations., 10 nominations.,19 wins ,0
5545,15 wins & 27 nominations., 27 nominations.,15 wins ,0
5551,1 win.,0,1 win,
5552,2 nominations.,0,2 nominations,
5554,3 nominations.,0,3 nominations,
5559,6 nominations.,0,6 nominations,
5567,1 win & 1 nomination., 1 nomination.,1 win ,0
5577,1 win & 2 nominations., 2 nominations.,1 win ,0
5600,1 nomination.,0,1 nomination,
